Vendor Key,Vendor Name,Vendor Contact Email,Lead Time Days,Payment Terms,Vendor Rating,Vendor Since
1,Pinnacle Electronics Supply,orders@pinnacleelectronicssupply.com,17,Net 30,2.9,2020-10-01 00:00:00
2,Meridian Tech Distributors,orders@meridiantechdistributors.com,17,Net 60,5.0,2017-12-02 00:00:00
3,Apex Consumer Goods,orders@apexconsumergoods.com,16,Net 30,3.1,2019-10-02 00:00:00
4,Silverline Imports,orders@silverlineimports.com,16,Net 30,2.8,2021-05-08 00:00:00
5,Northgate Wholesale,orders@northgatewholesale.com,7,Net 30,4.3,2019-07-31 00:00:00
6,BlueHarbor Distribution,orders@blueharbordistribution.com,15,Net 60,4.6,2018-06-12 00:00:00
7,Crestline Supply Co.,orders@crestlinesupplyco.com,16,Net 45,4.1,2018-03-05 00:00:00
8,Vantage Point Distributors,orders@vantagepointdistributors.com,15,Net 45,4.8,2019-05-12 00:00:00
9,Ironwood Trading Co.,orders@ironwoodtradingco.com,20,Net 60,4.7,2020-01-20 00:00:00
10,Summit Peak Imports,orders@summitpeakimports.com,7,Net 30,4.0,2020-05-02 00:00:00
11,Cascade Electronics Group,orders@cascadeelectronicsgroup.com,17,Net 30,4.8,2017-08-05 00:00:00
12,Redwood Supply Chain,orders@redwoodsupplychain.com,15,Net 45,4.8,2021-03-18 00:00:00
13,Anchor Bay Distributors,orders@anchorbaydistributors.com,8,Net 30,4.0,2017-10-23 00:00:00
14,Firstline Wholesale,orders@firstlinewholesale.com,17,Net 60,4.6,2019-01-31 00:00:00
15,Lakeshore Import Co.,orders@lakeshoreimportco.com,20,Net 45,3.4,2018-11-11 00:00:00
16,Highline Consumer Products,orders@highlineconsumerproducts.com,16,Net 30,2.8,2019-05-09 00:00:00
17,Westbridge Trading,orders@westbridgetrading.com,10,Net 45,4.0,2019-04-13 00:00:00
18,Clearwater Distribution,orders@clearwaterdistribution.com,13,Net 45,3.6,2020-07-18 00:00:00
19,Stonegate Supply,orders@stonegatesupply.com,9,Net 45,4.4,2019-02-22 00:00:00
20,Union Square Wholesale,orders@unionsquarewholesale.com,11,Net 60,3.1,2019-12-05 00:00:00
